DevType,Language,Count,Rank
Cloud infrastructure engineer,PHP,533,11
Cloud infrastructure engineer,C++,478,12
Cloud infrastructure engineer,Rust,451,13
Cloud infrastructure engineer,C,416,14
Cloud infrastructure engineer,Bash/Shell (all shells),324,15
Cloud infrastructure engineer,Ruby,316,16
Cloud infrastructure engineer,Kotlin,292,17
Cloud infrastructure engineer,Groovy,276,18
Cloud infrastructure engineer,Scala,191,19
Cloud infrastructure engineer,Lua,164,20
Cloud infrastructure engineer,Dart,160,21
Cloud infrastructure engineer,Swift,127,22
Cloud infrastructure engineer,Assembly,117,23
Cloud infrastructure engineer,Elixir,101,24
Cloud infrastructure engineer,Perl,100,25
Cloud infrastructure engineer,VBA,95,26
Cloud infrastructure engineer,R,87,27
Cloud infrastructure engineer,Objective-C,79,28
Cloud infrastructure engineer,Clojure,72,29
Cloud infrastructure engineer,MATLAB,62,30
Cloud infrastructure engineer,Erlang,55,31
Cloud infrastructure engineer,Solidity,54,32
Cloud infrastructure engineer,F#,52,33
Cloud infrastructure engineer,Delphi,52,34
Cloud infrastructure engineer,Haskell,51,35
Cloud infrastructure engineer,Julia,36,36
Cloud infrastructure engineer,LISP,34,37
Cloud infrastructure engineer,Crystal,16,38
Cloud infrastructure engineer,APL,12,39
Cloud infrastructure engineer,Fortran,12,40
Cloud infrastructure engineer,COBOL,12,41
Cloud infrastructure engineer,SAS,12,42
Cloud infrastructure engineer,OCaml,11,43
Cloud infrastructure engineer,Visual Basic (.Net),10,44
Cloud infrastructure engineer,Lisp,10,45
Cloud infrastructure engineer,GDScript,6,46
Cloud infrastructure engineer,Zig,5,47
Cloud infrastructure engineer,Prolog,3,48
Cloud infrastructure engineer,Nim,3,49
Cloud infrastructure engineer,Cobol,3,50
Cloud infrastructure engineer,Ada,2,51
Cloud infrastructure engineer,Apex,1,52
Cloud infrastructure engineer,Raku,1,53
Cloud infrastructure engineer,Flow,1,54
Data or business analyst,SQL,3714,1
Data or business analyst,JavaScript,2907,2
Data or business analyst,Python,2890,3
Data or business analyst,HTML/CSS,2710,4
Data or business analyst,C#,1474,5
Data or business analyst,Java,1355,6
Data or business analyst,TypeScript,1089,7
Data or business analyst,PHP,1067,8
Data or business analyst,R,873,9
Data or business analyst,Bash/Shell/PowerShell,841,10
Data or business analyst,Bash/Shell,829,11
Data or business analyst,VBA,766,12
Data or business analyst,C++,742,13
Data or business analyst,C,644,14
Data or business analyst,PowerShell,529,15
Data or business analyst,Node.js,427,16
Data or business analyst,Go,355,17
Data or business analyst,Ruby,270,18
Data or business analyst,Scala,253,19
Data or business analyst,Kotlin,227,20
Data or business analyst,Assembly,184,21
Data or business analyst,Rust,170,22
Data or business analyst,Dart,166,23
Data or business analyst,Swift,166,24
Data or business analyst,Perl,160,25
Data or business analyst,Delphi,128,26
Data or business analyst,Objective-C,121,27
Data or business analyst,Julia,79,28
Data or business analyst,Groovy,77,29
Data or business analyst,Matlab,70,30
Data or business analyst,Haskell,63,31
Data or business analyst,MATLAB,59,32
Data or business analyst,Bash/Shell (all shells),47,33
Data or business analyst,F#,46,34
Data or business analyst,Elixir,45,35
Data or business analyst,Other(s):,43,36
Data or business analyst,Clojure,42,37
Data or business analyst,LISP,35,38
Data or business analyst,SAS,33,39
Data or business analyst,Erlang,26,40
Data or business analyst,Lua,26,41
Data or business analyst,COBOL,23,42
Data or business analyst,Fortran,20,43
Data or business analyst,APL,20,44
Data or business analyst,Crystal,19,45
Data or business analyst,Solidity,18,46
Data or business analyst,Visual Basic (.Net),11,47
Data or business analyst,OCaml,6,48
Data or business analyst,WebAssembly,5,49
Data or business analyst,Cobol,1,50
Data or business analyst,Apex,1,51
Data or business analyst,Nim,1,52
Data or business analyst,Prolog,1,53
Data scientist or machine learning specialist,Python,4627,1
Data scientist or machine learning specialist,SQL,3501,2
Data scientist or machine learning specialist,JavaScript,2680,3
Data scientist or machine learning specialist,HTML/CSS,2428,4
Data scientist or machine learning specialist,Java,1576,5
Data scientist or machine learning specialist,R,1462,6
Data scientist or machine learning specialist,C++,1329,7
Data scientist or machine learning specialist,Bash/Shell/PowerShell,1040,8
Data scientist or machine learning specialist,C,1030,9
Data scientist or machine learning specialist,TypeScript,981,10
Data scientist or machine learning specialist,C#,980,11
Data scientist or machine learning specialist,Bash/Shell,980,12
Data scientist or machine learning specialist,PHP,708,13
Data scientist or machine learning specialist,Go,575,14
Data scientist or machine learning specialist,Scala,524,15
Data scientist or machine learning specialist,PowerShell,422,16
Data scientist or machine learning specialist,Node.js,412,17
Data scientist or machine learning specialist,VBA,402,18
Data scientist or machine learning specialist,Rust,392,19
Data scientist or machine learning specialist,Ruby,292,20
Data scientist or machine learning specialist,Kotlin,282,21
Data scientist or machine learning specialist,Assembly,255,22
Data scientist or machine learning specialist,Bash/Shell (all shells),217,23
Data scientist or machine learning specialist,Swift,205,24
Data scientist or machine learning specialist,Julia,200,25
Data scientist or machine learning specialist,Dart,178,26
Data scientist or machine learning specialist,Matlab,151,27
Data scientist or machine learning specialist,Perl,145,28
Data scientist or machine learning specialist,MATLAB,139,29
Data scientist or machine learning specialist,Haskell,133,30
Data scientist or machine learning specialist,Objective-C,125,31
Data scientist or machine learning specialist,Groovy,87,32
Data scientist or machine learning specialist,Clojure,76,33
Data scientist or machine learning specialist,Other(s):,76,34
Data scientist or machine learning specialist,Elixir,70,35
Data scientist or machine learning specialist,Lua,65,36
Data scientist or machine learning specialist,SAS,58,37
Data scientist or machine learning specialist,LISP,53,38
Data scientist or machine learning specialist,F#,51,39
Data scientist or machine learning specialist,Delphi,48,40
Data scientist or machine learning specialist,Erlang,43,41
Data scientist or machine learning specialist,Solidity,29,42
Data scientist or machine learning specialist,Fortran,20,43
Data scientist or machine learning specialist,COBOL,17,44
Data scientist or machine learning specialist,APL,15,45
Data scientist or machine learning specialist,OCaml,13,46
Data scientist or machine learning specialist,Visual Basic (.Net),12,47
Data scientist or machine learning specialist,Crystal,12,48
Data scientist or machine learning specialist,Prolog,9,49
Data scientist or machine learning specialist,Lisp,7,50
Data scientist or machine learning specialist,GDScript,7,51
Data scientist or machine learning specialist,WebAssembly,5,52
Data scientist or machine learning specialist,Ada,3,53
Data scientist or machine learning specialist,Zig,2,54
Data scientist or machine learning specialist,Apex,1,55
Data scientist or machine learning specialist,Raku,1,56
Database administrator,SQL,5885,1
Database administrator,JavaScript,5589,2
Database administrator,HTML/CSS,5130,3
Database administrator,Python,3357,4
Database administrator,C#,2952,5
Database administrator,PHP,2700,6
Database administrator,TypeScript,2433,7
Database administrator,Java,2359,8
Database administrator,Bash/Shell,1562,9
Database administrator,Bash/Shell/PowerShell,1546,10
Database administrator,C++,1327,11
Database administrator,C,1202,12
Database administrator,Node.js,941,13
Database administrator,PowerShell,915,14
Database administrator,Go,902,15
Database administrator,VBA,773,16
Database administrator,Ruby,600,17
Database administrator,Kotlin,485,18
Database administrator,R,411,19
Database administrator,Rust,408,20
Database administrator,Dart,397,21
Database administrator,Swift,386,22
Database administrator,Assembly,373,23
Database administrator,Perl,355,24
Database administrator,Objective-C,268,25
Database administrator,Scala,212,26
Database administrator,Delphi,190,27
Database administrator,Elixir,135,28
Database administrator,Groovy,129,29
Database administrator,Haskell,105,30
Database administrator,Clojure,89,31
Database administrator,F#,79,32
Database administrator,Erlang,78,33
Database administrator,Lua,78,34
Database administrator,Other(s):,70,35
Database administrator,Matlab,67,36
Database administrator,Crystal,54,37
Database administrator,MATLAB,53,38
Database administrator,LISP,46,39
Database administrator,Julia,42,40
Database administrator,COBOL,34,41
Database administrator,Bash/Shell (all shells),32,42
Database administrator,Solidity,32,43
Database administrator,Fortran,20,44
Database administrator,APL,18,45
Database administrator,SAS,17,46
Database administrator,WebAssembly,13,47
Database administrator,Apex,8,48
Database administrator,OCaml,8,49
Database administrator,Visual Basic (.Net),6,50
Database administrator,Lisp,3,51
Database administrator,Cobol,1,52
Designer,JavaScript,3928,1
Designer,HTML/CSS,3674,2
Designer,SQL,3164,3
Designer,C#,1880,4
Designer,Python,1875,5
Designer,TypeScript,1843,6
Designer,PHP,1751,7
Designer,Java,1714,8
Designer,C++,1032,9
Designer,C,900,10
Designer,Bash/Shell/PowerShell,893,11
Designer,Bash/Shell,734,12
Designer,Node.js,673,13
Designer,PowerShell,472,14
Designer,VBA,428,15
Designer,Kotlin,393,16
Designer,Go,381,17
Designer,Ruby,339,18
Designer,Swift,338,19
Designer,Dart,314,20
Designer,Assembly,267,21
Designer,Objective-C,229,22
Designer,R,212,23
Designer,Rust,193,24
Designer,Perl,173,25
Designer,Delphi,107,26
Designer,Scala,99,27
Designer,Groovy,72,28
Designer,Other(s):,54,29
Designer,MATLAB,46,30
Designer,Haskell,45,31
Designer,Elixir,44,32
Designer,Matlab,42,33
Designer,Lua,39,34
Designer,F#,35,35
Designer,LISP,30,36
Designer,Clojure,28,37
Designer,Erlang,24,38
Designer,Julia,23,39
Designer,Crystal,22,40
Designer,COBOL,20,41
Designer,Solidity,16,42
Designer,APL,14,43
Designer,Fortran,11,44
Designer,Bash/Shell (all shells),11,45
Designer,SAS,10,46
Designer,OCaml,5,47
Designer,WebAssembly,4,48
Designer,Visual Basic (.Net),3,49
Designer,Ada,1,50
Designer,Lisp,1,51
Designer,Nim,1,52
Designer,GDScript,1,53
DevOps specialist,JavaScript,7696,1
DevOps specialist,SQL,6838,2
DevOps specialist,HTML/CSS,6366,3
DevOps specialist,Python,5826,4
DevOps specialist,TypeScript,4302,5
DevOps specialist,Java,4023,6
DevOps specialist,C#,3661,7
DevOps specialist,Bash/Shell,3263,8
DevOps specialist,PHP,2519,9
DevOps specialist,Go,2461,10
DevOps specialist,Bash/Shell/PowerShell,2360,11
DevOps specialist,C++,1703,12
DevOps specialist,PowerShell,1679,13
DevOps specialist,Node.js,1587,14
DevOps specialist,C,1570,15
DevOps specialist,Ruby,1195,16
DevOps specialist,Kotlin,945,17
DevOps specialist,Rust,912,18
DevOps specialist,Groovy,689,19
DevOps specialist,Scala,527,20
DevOps specialist,Dart,466,21
DevOps specialist,VBA,462,22
DevOps specialist,Perl,452,23
DevOps specialist,Swift,430,24
DevOps specialist,Bash/Shell (all shells),425,25
DevOps specialist,Assembly,421,26
DevOps specialist,R,365,27
DevOps specialist,Objective-C,327,28
DevOps specialist,Elixir,220,29
DevOps specialist,Haskell,191,30
DevOps specialist,Clojure,160,31
DevOps specialist,Lua,145,32
DevOps specialist,F#,114,33
DevOps specialist,Delphi,112,34
DevOps specialist,Erlang,105,35
DevOps specialist,Matlab,84,36
DevOps specialist,MATLAB,82,37
DevOps specialist,LISP,82,38
DevOps specialist,Solidity,55,39
DevOps specialist,Other(s):,55,40
DevOps specialist,Julia,53,41
DevOps specialist,Crystal,51,42
DevOps specialist,COBOL,40,43
DevOps specialist,Visual Basic (.Net),24,44
DevOps specialist,APL,20,45
DevOps specialist,WebAssembly,16,46
DevOps specialist,Lisp,15,47
DevOps specialist,Fortran,15,48
DevOps specialist,OCaml,14,49
DevOps specialist,SAS,11,50
DevOps specialist,GDScript,10,51
DevOps specialist,Apex,5,52
DevOps specialist,Zig,5,53
DevOps specialist,Cobol,4,54
DevOps specialist,Prolog,3,55
DevOps specialist,Raku,3,56
DevOps specialist,Ada,3,57
DevOps specialist,Flow,1,58
DevOps specialist,Nim,1,59
Developer Advocate,JavaScript,51,1
Developer Advocate,SQL,44,2
Developer Advocate,HTML/CSS,42,3
Developer Advocate,TypeScript,29,4
Developer Advocate,Java,26,5
Developer Advocate,Python,26,6
Developer Advocate,C#,25,7
Developer Advocate,Bash/Shell (all shells),18,8
Developer Advocate,PHP,13,9
Developer Advocate,Go,13,10
Developer Advocate,Rust,12,11
Developer Advocate,Kotlin,11,12
Developer Advocate,C,10,13
Developer Advocate,C++,10,14
Developer Advocate,PowerShell,10,15
Developer Advocate,Swift,8,16
Developer Advocate,Ruby,7,17
Developer Advocate,Dart,5,18
Developer Advocate,Groovy,3,19
Developer Advocate,Elixir,3,20
Developer Advocate,Objective-C,3,21
Developer Advocate,Lua,2,22
Developer Advocate,Visual Basic (.Net),2,23
Developer Advocate,Apex,2,24
Developer Advocate,GDScript,1,25
Developer Advocate,R,1,26
Developer Advocate,F#,1,27
Developer Advocate,Scala,1,28
Developer Advocate,Assembly,1,29
Developer Advocate,Prolog,1,30
Developer Advocate,Solidity,1,31
Developer Advocate,Ada,1,32
Developer Advocate,Lisp,1,33
Developer Advocate,Perl,1,34
Developer Experience,JavaScript,80,1
Developer Experience,Python,67,2
Developer Experience,Bash/Shell (all shells),62,3
Developer Experience,TypeScript,56,4
Developer Experience,HTML/CSS,53,5
Developer Experience,SQL,48,6
Developer Experience,Go,40,7
Developer Experience,Java,28,8
Developer Experience,C#,26,9
Developer Experience,Rust,25,10
Developer Experience,C++,22,11
Developer Experience,Groovy,22,12
Developer Experience,PHP,19,13
Developer Experience,Ruby,18,14
Developer Experience,Kotlin,16,15
Developer Experience,Dart,12,16
Developer Experience,C,11,17
Developer Experience,PowerShell,10,18
Developer Experience,Lua,9,19
Developer Experience,Swift,8,20
Developer Experience,Objective-C,6,21
Developer Experience,Zig,5,22
Developer Experience,Scala,5,23
Developer Experience,Assembly,5,24
Developer Experience,Elixir,4,25
Developer Experience,VBA,4,26
Developer Experience,Delphi,4,27
Developer Experience,MATLAB,3,28
Developer Experience,Lisp,3,29
Developer Experience,Haskell,3,30
Developer Experience,R,3,31
Developer Experience,GDScript,3,32
Developer Experience,Solidity,3,33
Developer Experience,Fortran,2,34
Developer Experience,F#,2,35
Developer Experience,Erlang,2,36
Developer Experience,Cobol,2,37
Developer Experience,Visual Basic (.Net),2,38
Developer Experience,Perl,2,39
Developer Experience,Clojure,1,40
Developer Experience,Flow,1,41
Developer Experience,Crystal,1,42
"Developer, QA or test",JavaScript,3673,1
"Developer, QA or test",HTML/CSS,3228,2
"Developer, QA or test",SQL,3186,3
"Developer, QA or test",Python,2233,4
"Developer, QA or test",Java,2056,5
"Developer, QA or test",TypeScript,1814,6
"Developer, QA or test",C#,1809,7
"Developer, QA or test",PHP,1373,8
"Developer, QA or test",Bash/Shell/PowerShell,1023,9
"Developer, QA or test",Bash/Shell,1002,10
"Developer, QA or test",C++,973,11
"Developer, QA or test",C,877,12
"Developer, QA or test",Node.js,641,13
"Developer, QA or test",Go,611,14
"Developer, QA or test",PowerShell,570,15
"Developer, QA or test",Kotlin,498,16
"Developer, QA or test",Ruby,457,17
"Developer, QA or test",VBA,349,18
"Developer, QA or test",Rust,287,19
"Developer, QA or test",Swift,271,20
"Developer, QA or test",Assembly,254,21
"Developer, QA or test",Dart,254,22
"Developer, QA or test",Groovy,224,23
"Developer, QA or test",Perl,214,24
"Developer, QA or test",Objective-C,201,25
"Developer, QA or test",R,181,26
"Developer, QA or test",Scala,166,27
"Developer, QA or test",Delphi,81,28
"Developer, QA or test",Haskell,79,29
"Developer, QA or test",Elixir,69,30
"Developer, QA or test",Bash/Shell (all shells),69,31
"Developer, QA or test",Lua,66,32
"Developer, QA or test",Clojure,47,33
"Developer, QA or test",F#,45,34
"Developer, QA or test",Matlab,43,35
"Developer, QA or test",Other(s):,41,36
"Developer, QA or test",Erlang,40,37
"Developer, QA or test",MATLAB,35,38
"Developer, QA or test",Julia,34,39
"Developer, QA or test",LISP,27,40
"Developer, QA or test",Crystal,26,41
"Developer, QA or test",Solidity,25,42
"Developer, QA or test",COBOL,15,43
"Developer, QA or test",OCaml,13,44
"Developer, QA or test",APL,11,45
"Developer, QA or test",Fortran,10,46
"Developer, QA or test",SAS,9,47
"Developer, QA or test",WebAssembly,6,48
"Developer, QA or test",Visual Basic (.Net),3,49
"Developer, QA or test",GDScript,3,50
"Developer, QA or test",Prolog,1,51
"Developer, QA or test",Nim,1,52
"Developer, QA or test",Raku,1,53
"Developer, QA or test",Lisp,1,54
"Developer, back-end",JavaScript,30784,1
"Developer, back-end",SQL,28105,2
"Developer, back-end",HTML/CSS,24488,3
"Developer, back-end",Python,19783,4
"Developer, back-end",Java,17528,5
"Developer, back-end",TypeScript,16148,6
"Developer, back-end",C#,14644,7
"Developer, back-end",PHP,10250,8
"Developer, back-end",Bash/Shell,7789,9
"Developer, back-end",Go,7155,10
"Developer, back-end",C++,7146,11
"Developer, back-end",Bash/Shell/PowerShell,6381,12
"Developer, back-end",C,5996,13
"Developer, back-end",Node.js,4821,14
"Developer, back-end",Ruby,4311,15
"Developer, back-end",Kotlin,4268,16
"Developer, back-end",PowerShell,3919,17
"Developer, back-end",Rust,3441,18
"Developer, back-end",Scala,2475,19
"Developer, back-end",Bash/Shell (all shells),2238,20
"Developer, back-end",Dart,1939,21
"Developer, back-end",VBA,1832,22
"Developer, back-end",Swift,1740,23
"Developer, back-end",Groovy,1505,24
"Developer, back-end",Assembly,1460,25
"Developer, back-end",R,1369,26
"Developer, back-end",Perl,1211,27
"Developer, back-end",Elixir,1112,28
"Developer, back-end",Objective-C,1112,29
"Developer, back-end",Clojure,839,30
"Developer, back-end",Haskell,746,31
"Developer, back-end",Lua,647,32
"Developer, back-end",Delphi,518,33
"Developer, back-end",Erlang,481,34
"Developer, back-end",F#,434,35
"Developer, back-end",MATLAB,328,36
"Developer, back-end",Matlab,270,37
"Developer, back-end",LISP,245,38
"Developer, back-end",Solidity,233,39
"Developer, back-end",Julia,220,40
"Developer, back-end",Other(s):,218,41
"Developer, back-end",Crystal,155,42
"Developer, back-end",Visual Basic (.Net),146,43
"Developer, back-end",COBOL,118,44
"Developer, back-end",Fortran,69,45
"Developer, back-end",APL,67,46
"Developer, back-end",Lisp,67,47
"Developer, back-end",OCaml,62,48
"Developer, back-end",GDScript,58,49
"Developer, back-end",SAS,45,50
"Developer, back-end",Prolog,41,51
"Developer, back-end",Zig,31,52
"Developer, back-end",Apex,28,53
"Developer, back-end",WebAssembly,28,54
"Developer, back-end",Ada,25,55
"Developer, back-end",Cobol,15,56
"Developer, back-end",Nim,13,57
"Developer, back-end",Flow,4,58
"Developer, back-end",Raku,4,59
"Developer, desktop or enterprise applications",JavaScript,9658,1
"Developer, desktop or enterprise applications",SQL,9225,2
"Developer, desktop or enterprise applications",HTML/CSS,8458,3
"Developer, desktop or enterprise applications",C#,7601,4
"Developer, desktop or enterprise applications",Java,5459,5
"Developer, desktop or enterprise applications",Python,5235,6
"Developer, desktop or enterprise applications",TypeScript,5045,7
"Developer, desktop or enterprise applications",C++,3626,8
"Developer, desktop or enterprise applications",PHP,2859,9
"Developer, desktop or enterprise applications",C,2801,10
"Developer, desktop or enterprise applications",Bash/Shell/PowerShell,2558,11
"Developer, desktop or enterprise applications",Bash/Shell,1995,12
"Developer, desktop or enterprise applications",PowerShell,1792,13
"Developer, desktop or enterprise applications",Node.js,1420,14
"Developer, desktop or enterprise applications",VBA,1339,15
"Developer, desktop or enterprise applications",Go,1252,16
"Developer, desktop or enterprise applications",Kotlin,1083,17
"Developer, desktop or enterprise applications",Rust,829,18
"Developer, desktop or enterprise applications",Assembly,808,19
"Developer, desktop or enterprise applications",Swift,772,20
"Developer, desktop or enterprise applications",Ruby,735,21
"Developer, desktop or enterprise applications",Dart,661,22
"Developer, desktop or enterprise applications",Objective-C,616,23
"Developer, desktop or enterprise applications",Delphi,584,24
"Developer, desktop or enterprise applications",R,464,25
"Developer, desktop or enterprise applications",Perl,431,26
"Developer, desktop or enterprise applications",Scala,410,27
"Developer, desktop or enterprise applications",Groovy,354,28
"Developer, desktop or enterprise applications",Bash/Shell (all shells),265,29
"Developer, desktop or enterprise applications",F#,193,30
"Developer, desktop or enterprise applications",Haskell,193,31
"Developer, desktop or enterprise applications",Lua,144,32
"Developer, desktop or enterprise applications",Clojure,137,33
"Developer, desktop or enterprise applications",MATLAB,132,34
"Developer, desktop or enterprise applications",Matlab,119,35
"Developer, desktop or enterprise applications",Other(s):,118,36
"Developer, desktop or enterprise applications",Elixir,108,37
"Developer, desktop or enterprise applications",Visual Basic (.Net),102,38
"Developer, desktop or enterprise applications",LISP,92,39
"Developer, desktop or enterprise applications",COBOL,78,40
"Developer, desktop or enterprise applications",Erlang,76,41
"Developer, desktop or enterprise applications",Crystal,69,42
"Developer, desktop or enterprise applications",Julia,55,43
"Developer, desktop or enterprise applications",Fortran,44,44
"Developer, desktop or enterprise applications",Solidity,39,45
"Developer, desktop or enterprise applications",APL,38,46
"Developer, desktop or enterprise applications",SAS,23,47
"Developer, desktop or enterprise applications",WebAssembly,19,48
"Developer, desktop or enterprise applications",Apex,12,49
"Developer, desktop or enterprise applications",Cobol,12,50
"Developer, desktop or enterprise applications",Ada,11,51
"Developer, desktop or enterprise applications",Lisp,11,52
"Developer, desktop or enterprise applications",OCaml,10,53
"Developer, desktop or enterprise applications",GDScript,7,54
"Developer, desktop or enterprise applications",Prolog,6,55
"Developer, desktop or enterprise applications",Flow,3,56
"Developer, desktop or enterprise applications",Zig,2,57
"Developer, embedded applications or devices",JavaScript,3045,1
"Developer, embedded applications or devices",HTML/CSS,2690,2
"Developer, embedded applications or devices",SQL,2628,3
"Developer, embedded applications or devices",Python,2563,4
"Developer, embedded applications or devices",C++,2272,5
"Developer, embedded applications or devices",C,2210,6
"Developer, embedded applications or devices",C#,1868,7
"Developer, embedded applications or devices",Java,1823,8
"Developer, embedded applications or devices",TypeScript,1466,9
"Developer, embedded applications or devices",PHP,1175,10
"Developer, embedded applications or devices",Bash/Shell/PowerShell,1064,11
"Developer, embedded applications or devices",Bash/Shell,940,12
"Developer, embedded applications or devices",Assembly,667,13
"Developer, embedded applications or devices",Go,630,14
"Developer, embedded applications or devices",Rust,573,15
"Developer, embedded applications or devices",Node.js,513,16
"Developer, embedded applications or devices",Kotlin,488,17
"Developer, embedded applications or devices",PowerShell,475,18
"Developer, embedded applications or devices",Swift,444,19
"Developer, embedded applications or devices",VBA,398,20
"Developer, embedded applications or devices",Objective-C,375,21
"Developer, embedded applications or devices",Dart,333,22
"Developer, embedded applications or devices",Ruby,315,23
"Developer, embedded applications or devices",Perl,206,24
"Developer, embedded applications or devices",R,182,25
"Developer, embedded applications or devices",Bash/Shell (all shells),172,26
"Developer, embedded applications or devices",Delphi,170,27
"Developer, embedded applications or devices",Scala,135,28
"Developer, embedded applications or devices",Groovy,116,29
"Developer, embedded applications or devices",Lua,107,30
"Developer, embedded applications or devices",MATLAB,105,31
"Developer, embedded applications or devices",Haskell,96,32
"Developer, embedded applications or devices",Matlab,76,33
"Developer, embedded applications or devices",Elixir,73,34
"Developer, embedded applications or devices",Other(s):,55,35
"Developer, embedded applications or devices",LISP,49,36
"Developer, embedded applications or devices",Erlang,48,37
"Developer, embedded applications or devices",Julia,44,38
"Developer, embedded applications or devices",F#,41,39
"Developer, embedded applications or devices",Clojure,34,40
"Developer, embedded applications or devices",Crystal,29,41
"Developer, embedded applications or devices",COBOL,21,42
"Developer, embedded applications or devices",APL,18,43
"Developer, embedded applications or devices",Visual Basic (.Net),17,44
"Developer, embedded applications or devices",Fortran,15,45
"Developer, embedded applications or devices",Solidity,13,46
"Developer, embedded applications or devices",WebAssembly,11,47
"Developer, embedded applications or devices",Ada,9,48
"Developer, embedded applications or devices",SAS,8,49
"Developer, embedded applications or devices",OCaml,8,50
"Developer, embedded applications or devices",Lisp,5,51
"Developer, embedded applications or devices",Zig,4,52
"Developer, embedded applications or devices",Prolog,3,53
"Developer, embedded applications or devices",Nim,3,54
"Developer, embedded applications or devices",GDScript,2,55
"Developer, embedded applications or devices",Cobol,1,56
"Developer, embedded applications or devices",Apex,1,57
"Developer, front-end",JavaScript,20621,1
"Developer, front-end",HTML/CSS,18290,2
"Developer, front-end",SQL,13505,3
"Developer, front-end",TypeScript,12530,4
"Developer, front-end",Python,7891,5
"Developer, front-end",C#,7865,6
"Developer, front-end",Java,7561,7
"Developer, front-end",PHP,7005,8
"Developer, front-end",Node.js,3834,9
"Developer, front-end",Bash/Shell,3396,10
"Developer, front-end",C++,3357,11
"Developer, front-end",Bash/Shell/PowerShell,3319,12
"Developer, front-end",C,2879,13
"Developer, front-end",Go,2127,14
"Developer, front-end",PowerShell,1846,15
"Developer, front-end",Kotlin,1846,16
"Developer, front-end",Ruby,1815,17
"Developer, front-end",Dart,1516,18
"Developer, front-end",Swift,1379,19
"Developer, front-end",VBA,1193,20
