YearsGroup,DevType,Language,Count,Rank
junior,Data scientist or machine learning specialist,Bash/Shell,17,12
junior,Data scientist or machine learning specialist,TypeScript,16,13
junior,Data scientist or machine learning specialist,PHP,15,14
junior,Data scientist or machine learning specialist,PowerShell,11,15
junior,Data scientist or machine learning specialist,Node.js,10,16
junior,Data scientist or machine learning specialist,Dart,7,17
junior,Data scientist or machine learning specialist,Julia,6,18
junior,Data scientist or machine learning specialist,Scala,6,19
junior,Data scientist or machine learning specialist,MATLAB,6,20
junior,Data scientist or machine learning specialist,Bash/Shell (all shells),5,21
junior,Data scientist or machine learning specialist,Go,5,22
junior,Data scientist or machine learning specialist,Assembly,4,23
junior,Data scientist or machine learning specialist,Ruby,4,24
junior,Data scientist or machine learning specialist,Matlab,4,25
junior,Data scientist or machine learning specialist,APL,3,26
junior,Data scientist or machine learning specialist,F#,2,27
junior,Data scientist or machine learning specialist,LISP,2,28
junior,Data scientist or machine learning specialist,Rust,2,29
junior,Data scientist or machine learning specialist,Other(s):,2,30
junior,Data scientist or machine learning specialist,Lua,1,31
junior,Data scientist or machine learning specialist,Visual Basic (.Net),1,32
junior,Data scientist or machine learning specialist,Solidity,1,33
junior,Data scientist or machine learning specialist,Swift,1,34
junior,Data scientist or machine learning specialist,Haskell,1,35
junior,Data scientist or machine learning specialist,Kotlin,1,36
junior,Database administrator,SQL,136,1
junior,Database administrator,HTML/CSS,120,2
junior,Database administrator,JavaScript,119,3
junior,Database administrator,Python,91,4
junior,Database administrator,PHP,56,5
junior,Database administrator,C#,53,6
junior,Database administrator,Java,51,7
junior,Database administrator,TypeScript,44,8
junior,Database administrator,C,33,9
junior,Database administrator,Bash/Shell/PowerShell,28,10
junior,Database administrator,C++,27,11
junior,Database administrator,Bash/Shell,25,12
junior,Database administrator,Go,20,13
junior,Database administrator,PowerShell,18,14
junior,Database administrator,VBA,16,15
junior,Database administrator,R,15,16
junior,Database administrator,Node.js,13,17
junior,Database administrator,Kotlin,12,18
junior,Database administrator,Dart,10,19
junior,Database administrator,Rust,9,20
junior,Database administrator,Ruby,8,21
junior,Database administrator,Assembly,7,22
junior,Database administrator,Swift,4,23
junior,Database administrator,Scala,4,24
junior,Database administrator,Lua,3,25
junior,Database administrator,Elixir,2,26
junior,Database administrator,APL,2,27
junior,Database administrator,Objective-C,2,28
junior,Database administrator,Matlab,2,29
junior,Database administrator,Erlang,2,30
junior,Database administrator,Delphi,1,31
junior,Database administrator,Groovy,1,32
junior,Database administrator,Solidity,1,33
junior,Database administrator,Bash/Shell (all shells),1,34
junior,Database administrator,MATLAB,1,35
junior,Database administrator,Julia,1,36
junior,Database administrator,Crystal,1,37
junior,Database administrator,Perl,1,38
junior,Database administrator,WebAssembly,1,39
junior,Database administrator,Other(s):,1,40
junior,Designer,JavaScript,160,1
junior,Designer,HTML/CSS,157,2
junior,Designer,SQL,107,3
junior,Designer,TypeScript,71,4
junior,Designer,PHP,71,5
junior,Designer,Python,68,6
junior,Designer,Java,61,7
junior,Designer,C#,47,8
junior,Designer,C,33,9
junior,Designer,Bash/Shell/PowerShell,32,10
junior,Designer,C++,31,11
junior,Designer,Node.js,21,12
junior,Designer,Dart,16,13
junior,Designer,Bash/Shell,16,14
junior,Designer,Kotlin,16,15
junior,Designer,Swift,15,16
junior,Designer,R,9,17
junior,Designer,Ruby,8,18
junior,Designer,Go,7,19
junior,Designer,VBA,6,20
junior,Designer,PowerShell,5,21
junior,Designer,Objective-C,5,22
junior,Designer,Assembly,5,23
junior,Designer,MATLAB,3,24
junior,Designer,APL,3,25
junior,Designer,Rust,2,26
junior,Designer,Perl,2,27
junior,Designer,Clojure,2,28
junior,Designer,Matlab,1,29
junior,Designer,Julia,1,30
junior,Designer,Crystal,1,31
junior,Designer,Scala,1,32
junior,Designer,Elixir,1,33
junior,Designer,Erlang,1,34
junior,DevOps specialist,JavaScript,104,1
junior,DevOps specialist,Python,92,2
junior,DevOps specialist,SQL,91,3
junior,DevOps specialist,HTML/CSS,85,4
junior,DevOps specialist,TypeScript,51,5
junior,DevOps specialist,Bash/Shell,41,6
junior,DevOps specialist,Java,38,7
junior,DevOps specialist,C#,37,8
junior,DevOps specialist,Bash/Shell/PowerShell,34,9
junior,DevOps specialist,PHP,33,10
junior,DevOps specialist,PowerShell,28,11
junior,DevOps specialist,Go,24,12
junior,DevOps specialist,C,23,13
junior,DevOps specialist,Node.js,23,14
junior,DevOps specialist,C++,17,15
junior,DevOps specialist,Ruby,14,16
junior,DevOps specialist,Rust,9,17
junior,DevOps specialist,Bash/Shell (all shells),9,18
junior,DevOps specialist,Groovy,8,19
junior,DevOps specialist,Kotlin,7,20
junior,DevOps specialist,Dart,7,21
junior,DevOps specialist,VBA,6,22
junior,DevOps specialist,Swift,4,23
junior,DevOps specialist,Objective-C,4,24
junior,DevOps specialist,Perl,3,25
junior,DevOps specialist,Elixir,3,26
junior,DevOps specialist,Erlang,3,27
junior,DevOps specialist,Assembly,3,28
junior,DevOps specialist,Solidity,2,29
junior,DevOps specialist,APL,2,30
junior,DevOps specialist,Scala,2,31
junior,DevOps specialist,R,2,32
junior,DevOps specialist,Lua,1,33
junior,DevOps specialist,SAS,1,34
junior,DevOps specialist,Haskell,1,35
junior,DevOps specialist,Clojure,1,36
junior,DevOps specialist,Matlab,1,37
junior,Developer Advocate,SQL,1,1
junior,Developer Advocate,JavaScript,1,2
junior,Developer Advocate,Python,1,3
junior,Developer Advocate,Bash/Shell (all shells),1,4
junior,Developer Experience,HTML/CSS,4,1
junior,Developer Experience,JavaScript,4,2
junior,Developer Experience,TypeScript,3,3
junior,Developer Experience,SQL,3,4
junior,Developer Experience,C++,2,5
junior,Developer Experience,Assembly,2,6
junior,Developer Experience,C#,2,7
junior,Developer Experience,Python,1,8
junior,Developer Experience,MATLAB,1,9
junior,Developer Experience,VBA,1,10
junior,Developer Experience,Bash/Shell (all shells),1,11
junior,Developer Experience,Lua,1,12
junior,Developer Experience,C,1,13
junior,Developer Experience,Cobol,1,14
junior,Developer Experience,R,1,15
junior,Developer Experience,Swift,1,16
junior,Developer Experience,PHP,1,17
junior,Developer Experience,Solidity,1,18
junior,Developer Experience,Rust,1,19
junior,"Developer, QA or test",JavaScript,128,1
junior,"Developer, QA or test",HTML/CSS,124,2
junior,"Developer, QA or test",SQL,115,3
junior,"Developer, QA or test",Python,81,4
junior,"Developer, QA or test",Java,64,5
junior,"Developer, QA or test",TypeScript,53,6
junior,"Developer, QA or test",C#,52,7
junior,"Developer, QA or test",PHP,36,8
junior,"Developer, QA or test",Bash/Shell/PowerShell,29,9
junior,"Developer, QA or test",C,27,10
junior,"Developer, QA or test",C++,26,11
junior,"Developer, QA or test",Bash/Shell,19,12
junior,"Developer, QA or test",Node.js,17,13
junior,"Developer, QA or test",PowerShell,15,14
junior,"Developer, QA or test",Ruby,15,15
junior,"Developer, QA or test",Go,13,16
junior,"Developer, QA or test",Kotlin,9,17
junior,"Developer, QA or test",Swift,7,18
junior,"Developer, QA or test",R,7,19
junior,"Developer, QA or test",Dart,6,20
junior,"Developer, QA or test",Assembly,6,21
junior,"Developer, QA or test",VBA,5,22
junior,"Developer, QA or test",Scala,4,23
junior,"Developer, QA or test",Matlab,3,24
junior,"Developer, QA or test",Objective-C,3,25
junior,"Developer, QA or test",Bash/Shell (all shells),2,26
junior,"Developer, QA or test",Groovy,2,27
junior,"Developer, QA or test",Delphi,2,28
junior,"Developer, QA or test",Elixir,2,29
junior,"Developer, QA or test",Rust,2,30
junior,"Developer, QA or test",Lua,1,31
junior,"Developer, QA or test",APL,1,32
junior,"Developer, QA or test",Haskell,1,33
junior,"Developer, QA or test",WebAssembly,1,34
junior,"Developer, QA or test",Clojure,1,35
junior,"Developer, QA or test",Other(s):,1,36
junior,"Developer, back-end",JavaScript,943,1
junior,"Developer, back-end",HTML/CSS,816,2
junior,"Developer, back-end",SQL,773,3
junior,"Developer, back-end",Python,580,4
junior,"Developer, back-end",Java,443,5
junior,"Developer, back-end",TypeScript,386,6
junior,"Developer, back-end",PHP,329,7
junior,"Developer, back-end",C#,319,8
junior,"Developer, back-end",C,157,9
junior,"Developer, back-end",Bash/Shell/PowerShell,147,10
junior,"Developer, back-end",C++,145,11
junior,"Developer, back-end",Bash/Shell,144,12
junior,"Developer, back-end",Node.js,144,13
junior,"Developer, back-end",Go,125,14
junior,"Developer, back-end",Ruby,114,15
junior,"Developer, back-end",PowerShell,69,16
junior,"Developer, back-end",Dart,66,17
junior,"Developer, back-end",Kotlin,66,18
junior,"Developer, back-end",Rust,49,19
junior,"Developer, back-end",R,42,20
junior,"Developer, back-end",VBA,37,21
junior,"Developer, back-end",Bash/Shell (all shells),32,22
junior,"Developer, back-end",Swift,28,23
junior,"Developer, back-end",Scala,27,24
junior,"Developer, back-end",Assembly,25,25
junior,"Developer, back-end",Objective-C,15,26
junior,"Developer, back-end",Groovy,14,27
junior,"Developer, back-end",MATLAB,14,28
junior,"Developer, back-end",Elixir,14,29
junior,"Developer, back-end",Clojure,13,30
junior,"Developer, back-end",Solidity,10,31
junior,"Developer, back-end",Perl,10,32
junior,"Developer, back-end",Lua,10,33
junior,"Developer, back-end",Matlab,10,34
junior,"Developer, back-end",F#,7,35
junior,"Developer, back-end",Haskell,7,36
junior,"Developer, back-end",Julia,6,37
junior,"Developer, back-end",LISP,6,38
junior,"Developer, back-end",Delphi,5,39
junior,"Developer, back-end",Other(s):,5,40
junior,"Developer, back-end",Visual Basic (.Net),4,41
junior,"Developer, back-end",Erlang,4,42
junior,"Developer, back-end",APL,3,43
junior,"Developer, back-end",WebAssembly,3,44
junior,"Developer, back-end",GDScript,2,45
junior,"Developer, back-end",SAS,1,46
junior,"Developer, back-end",Lisp,1,47
junior,"Developer, back-end",Apex,1,48
junior,"Developer, back-end",OCaml,1,49
junior,"Developer, back-end",COBOL,1,50
junior,"Developer, back-end",Crystal,1,51
junior,"Developer, desktop or enterprise applications",JavaScript,219,1
junior,"Developer, desktop or enterprise applications",SQL,216,2
junior,"Developer, desktop or enterprise applications",HTML/CSS,211,3
junior,"Developer, desktop or enterprise applications",Java,143,4
junior,"Developer, desktop or enterprise applications",C#,142,5
junior,"Developer, desktop or enterprise applications",Python,121,6
junior,"Developer, desktop or enterprise applications",TypeScript,98,7
junior,"Developer, desktop or enterprise applications",PHP,70,8
junior,"Developer, desktop or enterprise applications",C,62,9
junior,"Developer, desktop or enterprise applications",C++,60,10
junior,"Developer, desktop or enterprise applications",Bash/Shell/PowerShell,42,11
junior,"Developer, desktop or enterprise applications",VBA,32,12
junior,"Developer, desktop or enterprise applications",Dart,31,13
junior,"Developer, desktop or enterprise applications",Kotlin,29,14
junior,"Developer, desktop or enterprise applications",Bash/Shell,29,15
junior,"Developer, desktop or enterprise applications",Node.js,28,16
junior,"Developer, desktop or enterprise applications",PowerShell,25,17
junior,"Developer, desktop or enterprise applications",Ruby,16,18
junior,"Developer, desktop or enterprise applications",R,15,19
junior,"Developer, desktop or enterprise applications",Assembly,15,20
junior,"Developer, desktop or enterprise applications",Swift,15,21
junior,"Developer, desktop or enterprise applications",Go,14,22
junior,"Developer, desktop or enterprise applications",Rust,10,23
junior,"Developer, desktop or enterprise applications",Bash/Shell (all shells),8,24
junior,"Developer, desktop or enterprise applications",Delphi,7,25
junior,"Developer, desktop or enterprise applications",MATLAB,7,26
junior,"Developer, desktop or enterprise applications",Objective-C,7,27
junior,"Developer, desktop or enterprise applications",Perl,5,28
junior,"Developer, desktop or enterprise applications",Scala,5,29
junior,"Developer, desktop or enterprise applications",APL,4,30
junior,"Developer, desktop or enterprise applications",Groovy,3,31
junior,"Developer, desktop or enterprise applications",Lua,3,32
junior,"Developer, desktop or enterprise applications",Visual Basic (.Net),3,33
junior,"Developer, desktop or enterprise applications",F#,3,34
junior,"Developer, desktop or enterprise applications",Matlab,3,35
junior,"Developer, desktop or enterprise applications",Clojure,2,36
junior,"Developer, desktop or enterprise applications",Julia,2,37
junior,"Developer, desktop or enterprise applications",Haskell,2,38
junior,"Developer, desktop or enterprise applications",LISP,2,39
junior,"Developer, desktop or enterprise applications",Solidity,2,40
junior,"Developer, desktop or enterprise applications",Other(s):,2,41
junior,"Developer, desktop or enterprise applications",Apex,1,42
junior,"Developer, desktop or enterprise applications",Erlang,1,43
junior,"Developer, desktop or enterprise applications",Fortran,1,44
junior,"Developer, desktop or enterprise applications",COBOL,1,45
junior,"Developer, desktop or enterprise applications",OCaml,1,46
junior,"Developer, desktop or enterprise applications",Elixir,1,47
junior,"Developer, desktop or enterprise applications",Crystal,1,48
junior,"Developer, desktop or enterprise applications",SAS,1,49
junior,"Developer, embedded applications or devices",JavaScript,60,1
junior,"Developer, embedded applications or devices",SQL,58,2
junior,"Developer, embedded applications or devices",HTML/CSS,57,3
junior,"Developer, embedded applications or devices",Python,40,4
junior,"Developer, embedded applications or devices",C#,32,5
junior,"Developer, embedded applications or devices",C,31,6
junior,"Developer, embedded applications or devices",Java,31,7
junior,"Developer, embedded applications or devices",TypeScript,28,8
junior,"Developer, embedded applications or devices",C++,24,9
junior,"Developer, embedded applications or devices",PHP,24,10
junior,"Developer, embedded applications or devices",Node.js,12,11
junior,"Developer, embedded applications or devices",Bash/Shell/PowerShell,12,12
junior,"Developer, embedded applications or devices",Dart,11,13
junior,"Developer, embedded applications or devices",Bash/Shell,9,14
junior,"Developer, embedded applications or devices",PowerShell,8,15
junior,"Developer, embedded applications or devices",Assembly,6,16
junior,"Developer, embedded applications or devices",Kotlin,6,17
junior,"Developer, embedded applications or devices",Swift,6,18
junior,"Developer, embedded applications or devices",Go,5,19
junior,"Developer, embedded applications or devices",Delphi,4,20
junior,"Developer, embedded applications or devices",Rust,4,21
junior,"Developer, embedded applications or devices",VBA,4,22
junior,"Developer, embedded applications or devices",Objective-C,3,23
junior,"Developer, embedded applications or devices",R,3,24
junior,"Developer, embedded applications or devices",Bash/Shell (all shells),2,25
junior,"Developer, embedded applications or devices",Matlab,2,26
junior,"Developer, embedded applications or devices",Haskell,1,27
junior,"Developer, embedded applications or devices",MATLAB,1,28
junior,"Developer, embedded applications or devices",APL,1,29
junior,"Developer, embedded applications or devices",Perl,1,30
junior,"Developer, embedded applications or devices",Ruby,1,31
junior,"Developer, front-end",JavaScript,1074,1
junior,"Developer, front-end",HTML/CSS,967,2
junior,"Developer, front-end",TypeScript,592,3
junior,"Developer, front-end",SQL,502,4
junior,"Developer, front-end",Python,347,5
junior,"Developer, front-end",PHP,284,6
junior,"Developer, front-end",Java,257,7
junior,"Developer, front-end",C#,211,8
junior,"Developer, front-end",Node.js,158,9
junior,"Developer, front-end",C++,112,10
junior,"Developer, front-end",Bash/Shell/PowerShell,107,11
junior,"Developer, front-end",C,104,12
junior,"Developer, front-end",Bash/Shell,100,13
junior,"Developer, front-end",Dart,75,14
junior,"Developer, front-end",Ruby,73,15
junior,"Developer, front-end",Kotlin,56,16
junior,"Developer, front-end",Go,56,17
junior,"Developer, front-end",PowerShell,52,18
junior,"Developer, front-end",VBA,33,19
junior,"Developer, front-end",Swift,30,20
junior,"Developer, front-end",R,29,21
junior,"Developer, front-end",Rust,27,22
junior,"Developer, front-end",Assembly,21,23
junior,"Developer, front-end",Solidity,13,24
junior,"Developer, front-end",Bash/Shell (all shells),13,25
junior,"Developer, front-end",Objective-C,12,26
junior,"Developer, front-end",Lua,10,27
junior,"Developer, front-end",Scala,9,28
junior,"Developer, front-end",MATLAB,9,29
junior,"Developer, front-end",Elixir,9,30
junior,"Developer, front-end",Perl,7,31
junior,"Developer, front-end",Haskell,6,32
junior,"Developer, front-end",Matlab,6,33
junior,"Developer, front-end",Clojure,5,34
junior,"Developer, front-end",APL,5,35
junior,"Developer, front-end",Julia,4,36
junior,"Developer, front-end",Delphi,4,37
junior,"Developer, front-end",LISP,4,38
junior,"Developer, front-end",Other(s):,4,39
junior,"Developer, front-end",Groovy,3,40
junior,"Developer, front-end",Erlang,3,41
junior,"Developer, front-end",Lisp,2,42
junior,"Developer, front-end",SAS,2,43
junior,"Developer, front-end",F#,2,44
junior,"Developer, front-end",Visual Basic (.Net),1,45
junior,"Developer, front-end",Fortran,1,46
junior,"Developer, front-end",Apex,1,47
junior,"Developer, front-end",GDScript,1,48
junior,"Developer, front-end",Flow,1,49
junior,"Developer, front-end",Crystal,1,50
junior,"Developer, front-end",WebAssembly,1,51
junior,"Developer, full-stack",JavaScript,1713,1
junior,"Developer, full-stack",HTML/CSS,1490,2
junior,"Developer, full-stack",SQL,1074,3
junior,"Developer, full-stack",TypeScript,913,4
junior,"Developer, full-stack",Python,739,5
junior,"Developer, full-stack",Java,483,6
junior,"Developer, full-stack",C#,477,7
junior,"Developer, full-stack",PHP,457,8
junior,"Developer, full-stack",Node.js,258,9
junior,"Developer, full-stack",Ruby,207,10
junior,"Developer, full-stack",Bash/Shell,185,11
junior,"Developer, full-stack",C++,164,12
junior,"Developer, full-stack",Bash/Shell/PowerShell,164,13
junior,"Developer, full-stack",C,157,14
junior,"Developer, full-stack",Go,151,15
junior,"Developer, full-stack",PowerShell,133,16
junior,"Developer, full-stack",Dart,124,17
junior,"Developer, full-stack",Bash/Shell (all shells),91,18
junior,"Developer, full-stack",Kotlin,90,19
junior,"Developer, full-stack",Rust,78,20
junior,"Developer, full-stack",VBA,54,21
junior,"Developer, full-stack",Swift,47,22
junior,"Developer, full-stack",R,43,23
junior,"Developer, full-stack",Solidity,25,24
junior,"Developer, full-stack",Assembly,24,25
junior,"Developer, full-stack",Scala,24,26
junior,"Developer, full-stack",Lua,24,27
junior,"Developer, full-stack",MATLAB,24,28
junior,"Developer, full-stack",Objective-C,19,29
junior,"Developer, full-stack",Elixir,18,30
junior,"Developer, full-stack",Clojure,18,31
junior,"Developer, full-stack",Groovy,18,32
junior,"Developer, full-stack",Perl,11,33
junior,"Developer, full-stack",Matlab,11,34
junior,"Developer, full-stack",Haskell,9,35
junior,"Developer, full-stack",F#,7,36
junior,"Developer, full-stack",Visual Basic (.Net),6,37
junior,"Developer, full-stack",Other(s):,5,38
junior,"Developer, full-stack",Erlang,4,39
junior,"Developer, full-stack",Delphi,4,40
junior,"Developer, full-stack",Julia,4,41
junior,"Developer, full-stack",Lisp,3,42
junior,"Developer, full-stack",APL,3,43
junior,"Developer, full-stack",LISP,3,44
junior,"Developer, full-stack",Apex,2,45
junior,"Developer, full-stack",SAS,2,46
junior,"Developer, full-stack",OCaml,1,47
junior,"Developer, full-stack",Zig,1,48
junior,"Developer, full-stack",Flow,1,49
junior,"Developer, full-stack",Ada,1,50
junior,"Developer, full-stack",Crystal,1,51
junior,"Developer, full-stack",WebAssembly,1,52
junior,"Developer, game or graphics",HTML/CSS,31,1
junior,"Developer, game or graphics",JavaScript,31,2
junior,"Developer, game or graphics",SQL,31,3
junior,"Developer, game or graphics",C#,24,4
junior,"Developer, game or graphics",PHP,18,5
junior,"Developer, game or graphics",TypeScript,15,6
junior,"Developer, game or graphics",Java,15,7
junior,"Developer, game or graphics",C++,15,8
junior,"Developer, game or graphics",Python,14,9
junior,"Developer, game or graphics",C,14,10
junior,"Developer, game or graphics",Dart,7,11
junior,"Developer, game or graphics",Node.js,5,12
junior,"Developer, game or graphics",Bash/Shell,4,13
junior,"Developer, game or graphics",Rust,4,14
junior,"Developer, game or graphics",Bash/Shell/PowerShell,4,15
junior,"Developer, game or graphics",Assembly,3,16
junior,"Developer, game or graphics",MATLAB,2,17
junior,"Developer, game or graphics",Go,2,18
junior,"Developer, game or graphics",Matlab,2,19
junior,"Developer, game or graphics",Kotlin,2,20
junior,"Developer, game or graphics",APL,2,21
junior,"Developer, game or graphics",R,2,22
junior,"Developer, game or graphics",Swift,2,23
junior,"Developer, game or graphics",VBA,2,24
junior,"Developer, game or graphics",Lua,1,25
junior,"Developer, game or graphics",PowerShell,1,26
junior,"Developer, game or graphics",Objective-C,1,27
junior,"Developer, game or graphics",Ruby,1,28
junior,"Developer, game or graphics",Other(s):,1,29
junior,"Developer, mobile",JavaScript,286,1
junior,"Developer, mobile",HTML/CSS,256,2
junior,"Developer, mobile",SQL,190,3
junior,"Developer, mobile",Java,190,4
junior,"Developer, mobile",TypeScript,151,5
junior,"Developer, mobile",Python,133,6
junior,"Developer, mobile",Dart,114,7
junior,"Developer, mobile",Kotlin,105,8
junior,"Developer, mobile",PHP,105,9
junior,"Developer, mobile",C#,97,10
junior,"Developer, mobile",Swift,64,11
junior,"Developer, mobile",C++,63,12
junior,"Developer, mobile",C,57,13
junior,"Developer, mobile",Node.js,54,14
junior,"Developer, mobile",Bash/Shell/PowerShell,33,15
junior,"Developer, mobile",Objective-C,29,16
junior,"Developer, mobile",Bash/Shell,23,17
junior,"Developer, mobile",Go,21,18
junior,"Developer, mobile",Ruby,15,19
junior,"Developer, mobile",R,12,20
junior,"Developer, mobile",PowerShell,12,21
junior,"Developer, mobile",VBA,11,22
junior,"Developer, mobile",Rust,10,23
junior,"Developer, mobile",Assembly,9,24
junior,"Developer, mobile",Groovy,5,25
junior,"Developer, mobile",Solidity,5,26
junior,"Developer, mobile",MATLAB,5,27
junior,"Developer, mobile",Matlab,4,28
junior,"Developer, mobile",Clojure,4,29
junior,"Developer, mobile",Bash/Shell (all shells),3,30
junior,"Developer, mobile",APL,3,31
junior,"Developer, mobile",Scala,3,32
junior,"Developer, mobile",Perl,2,33
junior,"Developer, mobile",Visual Basic (.Net),1,34
junior,"Developer, mobile",Lua,1,35
junior,"Developer, mobile",Delphi,1,36
junior,"Developer, mobile",Haskell,1,37
junior,"Developer, mobile",Julia,1,38
junior,"Developer, mobile",Erlang,1,39
junior,"Developer, mobile",Elixir,1,40
junior,"Developer, mobile",Other(s):,1,41
junior,Educator,JavaScript,67,1
junior,Educator,HTML/CSS,66,2
junior,Educator,SQL,57,3
junior,Educator,Python,41,4
junior,Educator,Java,30,5
junior,Educator,TypeScript,29,6
junior,Educator,PHP,19,7
junior,Educator,Node.js,17,8
junior,Educator,C#,15,9
junior,Educator,C++,13,10
junior,Educator,Bash/Shell,13,11
junior,Educator,Bash/Shell/PowerShell,11,12
junior,Educator,Ruby,10,13
junior,Educator,Swift,9,14
junior,Educator,R,9,15
junior,Educator,C,9,16
